prompt_idx,L_patch,base_clean_proj,base_dirty_proj,patched_proj,recovery,status,error_msg
0,0,468.042724609375,136.1629638671875,136.1629638671875,0.0,ok,
0,4,468.042724609375,136.1629638671875,137.00418090820312,0.002534704252933048,ok,
0,8,468.042724609375,136.1629638671875,135.65548706054688,-0.0015290983864329278,ok,
0,12,468.042724609375,136.1629638671875,137.3310089111328,0.0035194826021725354,ok,
0,16,468.042724609375,136.1629638671875,135.7920684814453,-0.0011175595188834318,ok,
0,20,468.042724609375,136.1629638671875,135.2598876953125,-0.0027210944405149555,ok,
0,24,468.042724609375,136.1629638671875,136.05055236816406,-0.0003387115224262246,ok,
0,28,468.042724609375,136.1629638671875,136.27976989746094,0.00035195285790318306,ok,
0,32,468.042724609375,136.1629638671875,136.16110229492188,-5.609176833989331e-06,ok,
1,0,372.2309265136719,186.70912170410156,186.70912170410156,0.0,ok,
1,4,372.2309265136719,186.70912170410156,182.34915161132812,-0.023501119435792188,ok,
1,8,372.2309265136719,186.70912170410156,184.29754638671875,-0.012998878055645183,ok,
1,12,372.2309265136719,186.70912170410156,183.59286499023438,-0.01679725311569647,ok,
1,16,372.2309265136719,186.70912170410156,183.71011352539062,-0.016165259829103554,ok,
1,20,372.2309265136719,186.70912170410156,186.19284057617188,-0.002782859559067068,ok,
1,24,372.2309265136719,186.70912170410156,186.34609985351562,-0.001956761098559616,ok,
1,28,372.2309265136719,186.70912170410156,186.69602966308594,-7.056874543164014e-05,ok,
1,32,372.2309265136719,186.70912170410156,186.70489501953125,-2.2782683548443264e-05,ok,
2,0,447.01239013671875,137.9854736328125,137.9854736328125,0.0,ok,
2,4,447.01239013671875,137.9854736328125,139.0624237060547,0.00348497174752923,ok,
2,8,447.01239013671875,137.9854736328125,137.36294555664062,-0.002014478490141508,ok,
2,12,447.01239013671875,137.9854736328125,139.37619018554688,0.004500308803090282,ok,
2,16,447.01239013671875,137.9854736328125,137.79025268554688,-0.0006317279720297676,ok,
2,20,447.01239013671875,137.9854736328125,140.01670837402344,0.006573002650354121,ok,
2,24,447.01239013671875,137.9854736328125,138.53543090820312,0.0017796419859228453,ok,
2,28,447.01239013671875,137.9854736328125,138.0489501953125,0.00020540787585147984,ok,
2,32,447.01239013671875,137.9854736328125,138.00927734375,7.702795344430493e-05,ok,
3,0,488.51483154296875,111.7983169555664,111.7983169555664,0.0,ok,
3,4,488.51483154296875,111.7983169555664,115.16669464111328,0.0089414123223031,ok,
3,8,488.51483154296875,111.7983169555664,110.69707489013672,-0.0029232646374311986,ok,
3,12,488.51483154296875,111.7983169555664,111.89816284179688,0.0002650424984416323,ok,
3,16,488.51483154296875,111.7983169555664,112.63002014160156,0.0022077693805010825,ok,
3,20,488.51483154296875,111.7983169555664,111.71012878417969,-0.00023409690834315185,ok,
3,24,488.51483154296875,111.7983169555664,111.86721801757812,0.00018289896870378098,ok,
3,28,488.51483154296875,111.7983169555664,111.89591217041016,0.0002590680553270697,ok,
3,32,488.51483154296875,111.7983169555664,111.80818939208984,2.6206540305912146e-05,ok,
4,0,472.62738037109375,148.65933227539062,148.65933227539062,0.0,ok,
4,4,472.62738037109375,148.65933227539062,152.33279418945312,0.011338963628219675,ok,
4,8,472.62738037109375,148.65933227539062,151.09567260742188,0.007520310556402564,ok,
4,12,472.62738037109375,148.65933227539062,149.22132873535156,0.0017347280488442447,ok,
4,16,472.62738037109375,148.65933227539062,151.59024047851562,0.009046905151149915,ok,
4,20,472.62738037109375,148.65933227539062,148.1030731201172,-0.0017170185718719813,ok,
4,24,472.62738037109375,148.65933227539062,149.027099609375,0.001135196313791208,ok,
4,28,472.62738037109375,148.65933227539062,148.7200927734375,0.00018755089708391795,ok,
4,32,472.62738037109375,148.65933227539062,148.68746948242188,8.685179664056874e-05,ok,
5,0,465.575439453125,145.47035217285156,145.47035217285156,0.0,ok,
5,4,465.575439453125,145.47035217285156,145.74441528320312,0.0008561660568412082,ok,
5,8,465.575439453125,145.47035217285156,141.72206115722656,-0.011709564029337404,ok,
5,12,465.575439453125,145.47035217285156,144.87847900390625,-0.001848996446679674,ok,
5,16,465.575439453125,145.47035217285156,144.42123413085938,-0.003277417584662172,ok,
5,20,465.575439453125,145.47035217285156,144.367919921875,-0.0034439697923679333,ok,
5,24,465.575439453125,145.47035217285156,145.02053833007812,-0.0014052067919170413,ok,
5,28,465.575439453125,145.47035217285156,145.45472717285156,-4.881209521771601e-05,ok,
5,32,465.575439453125,145.47035217285156,145.43267822265625,-0.00011769244442630939,ok,
6,0,435.5624694824219,109.0403060913086,109.0403060913086,0.0,ok,
6,4,435.5624694824219,109.0403060913086,108.99628448486328,-0.00013481965814548014,ok,
6,8,435.5624694824219,109.0403060913086,109.172119140625,0.0004036879088005997,ok,
6,12,435.5624694824219,109.0403060913086,108.95186614990234,-0.0002708543288080426,ok,
6,16,435.5624694824219,109.0403060913086,107.94000244140625,-0.0033697671192518194,ok,
6,20,435.5624694824219,109.0403060913086,110.20602416992188,0.0035701039908184306,ok,
6,24,435.5624694824219,109.0403060913086,108.51322937011719,-0.0016142142258198432,ok,
6,28,435.5624694824219,109.0403060913086,108.93055725097656,-0.0003361145203505601,ok,
6,32,435.5624694824219,109.0403060913086,109.06413269042969,7.297084790092451e-05,ok,
7,0,332.0086975097656,46.11314392089844,46.11314392089844,0.0,ok,
7,4,332.0086975097656,46.11314392089844,44.71343994140625,-0.0048958578121331515,ok,
7,8,332.0086975097656,46.11314392089844,47.913963317871094,0.006298871648638261,ok,
7,12,332.0086975097656,46.11314392089844,48.36497497558594,0.007876411600041011,ok,
7,16,332.0086975097656,46.11314392089844,46.82184600830078,0.00247888460840316,ok,
7,20,332.0086975097656,46.11314392089844,45.76643371582031,-0.0012127163249859858,ok,
7,24,332.0086975097656,46.11314392089844,46.267555236816406,0.0005400969479225281,ok,
7,28,332.0086975097656,46.11314392089844,45.90632247924805,-0.0007234160834407754,ok,
7,32,332.0086975097656,46.11314392089844,46.090118408203125,-8.053819797569989e-05,ok,
